id,price,Title,Genre,Score
146,"€28,85","",Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi),Comedy
45,"€33,59",From Hell It Came,Horror,5.0
19,"€39,48",Dolemite,Action|Comedy|Crime|Mystery|Thriller,4.9
60,"€35,91",Faces,Drama,4.9
85,"€16,33",Female Prisoner #701: Scorpion (Joshuu 701-gô: Sasori),Crime|Drama|Thriller,4.9
36,"€11,82",For the Birds,Animation|Children|Comedy,4.9
48,"€27,59",Hum Aapke Hain Koun...!,Comedy|Drama|Musical,4.9
198,"€25,43",Intouchables,Comedy|Drama,4.9
96,"€27,97","Proposal, The",Comedy|Romance,4.9
62,"€19,68",Rosalie Goes Shopping,Comedy,4.9
